2018-11-28 16:26:25,986 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Setup: serverId=16387f83-f70d-4bc0-9703-51b0f00fc2c6
2018-11-28 16:26:32,834 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Disconnected Peers (C) +/sec
2018-11-28 16:26:32,834 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter TCP: Peers
2018-11-28 16:26:32,835 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers +/sec
2018-11-28 16:26:32,835 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Disconnected Peers (C) +/sec
2018-11-28 16:26:32,835 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.WorkloadController - Did not find counter UDP: Peers
2018-11-28 16:26:32,852 [1] WARN  Photon.Common.LoadBalancer.LoadShedding.FeedbackControlSystem - Could not initialize Feedback Control System from configuration: Invalid configuration file F:\PhotonServer教程\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config. Using default settings... (未能找到文件“F:\PhotonServer教程\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\Workload.config”。)
2018-11-28 16:26:32,859 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Watching for application state file in F:\PhotonServer教程\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\ServerState.txt
2018-11-28 16:26:32,861 [1] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-11-28 16:26:32,862 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - Initializing master server connection ...
2018-11-28 16:26:32,907 [1] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Connecting to master at 127.0.0.1:4520, serverId=16387f83-f70d-4bc0-9703-51b0f00fc2c6
2018-11-28 16:26:32,923 [1] INFO  Photon.SocketServer.ApplicationBase - Application start: AppId=Game; AppPath=F:\PhotonServer教程\Photon-OnPremise-Server-SDK_v4-0-29-11263\deploy\LoadBalancing\GameServer, Type=Photon.LoadBalancing.GameServer.GameApplication 
2018-11-28 16:26:32,928 [1] INFO  Photon.SocketServer.Diagnostics.CounterPublisher - CounterPublisher started publishing ExitGames.Diagnostics.Monitoring.CounterSamplePublisher to ExitGames.Diagnostics.Monitoring.CounterSampleSender
2018-11-28 16:26:34,576 [10] INFO  Photon.LoadBalancing.GameServer.MasterServerConnectionBase - Master connection established: address:127.0.0.1
2018-11-28 16:26:34,577 [10] INFO  Photon.Common.LoadBalancer.ServerStateManager - Server state is set to online
2018-11-28 16:26:34,580 [10] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Registering game server with address 127.0.0.1, TCP 4531, UDP 5056, WebSocket 9091, Secure WebSocket 19091, HTTP 80, ServerID 16387f83-f70d-4bc0-9703-51b0f00fc2c6, Hostname localhost, IPv6Address 
2018-11-28 16:26:34,630 [13] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - Successfully registered at master server: serverId=16387f83-f70d-4bc0-9703-51b0f00fc2c6
2018-11-28 16:26:37,624 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - OnStopRequested: serverid=16387f83-f70d-4bc0-9703-51b0f00fc2c6
2018-11-28 16:26:37,626 [1] INFO  Photon.SocketServer.ApplicationBase - Application is stopping: AppId=Game
2018-11-28 16:26:37,629 [11] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer - connection to master closed (id=2, reason=ManagedDisconnect, detail=), serverId=16387f83-f70d-4bc0-9703-51b0f00fc2c6
2018-11-28 16:26:37,645 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication - TearDown: serverId=16387f83-f70d-4bc0-9703-51b0f00fc2c6
2018-11-28 16:26:37,655 [1] INFO  Photon.SocketServer.ApplicationBase - Application stop: AppId=Game
